sample	sample_type
TCGA-14-1825	3
TCGA-14-1827	3
TCGA-14-1829	3
TCGA-14-2554	3
TCGA-14-2555	3
TCGA-14-3476	3
TCGA-14-3477	3
TCGA-14-4157	3
TCGA-15-0742	3
TCGA-15-1444	3
TCGA-15-1446	3
TCGA-15-1447	3
TCGA-15-1449	3
TCGA-16-0846	3
TCGA-16-0848	3
TCGA-16-0849	3
TCGA-16-0850	3
TCGA-16-0861	3
TCGA-16-1045	3
TCGA-16-1047	3
TCGA-16-1048	3
TCGA-16-1055	3
TCGA-16-1056	3
TCGA-16-1060	3
TCGA-16-1062	3
TCGA-16-1063	3
TCGA-16-1460	3
TCGA-17-Z000	5
TCGA-17-Z001	5
TCGA-17-Z002	5
TCGA-17-Z003	5
TCGA-17-Z004	5
TCGA-17-Z005	5
TCGA-17-Z006	5
TCGA-17-Z007	5
TCGA-17-Z008	5
TCGA-17-Z009	5
TCGA-17-Z010	5
TCGA-17-Z011	5
TCGA-17-Z012	5
TCGA-17-Z013	5
TCGA-17-Z014	5
TCGA-17-Z015	5
TCGA-17-Z016	5
TCGA-17-Z017	5
TCGA-17-Z018	5
TCGA-17-Z019	5
TCGA-17-Z020	5
TCGA-17-Z021	5
TCGA-17-Z022	5
TCGA-17-Z023	5
TCGA-17-Z024	5
TCGA-17-Z025	5
TCGA-17-Z026	5
TCGA-17-Z027	5
TCGA-17-Z028	5
TCGA-17-Z029	5
TCGA-17-Z030	5
TCGA-17-Z031	5
TCGA-17-Z032	5
TCGA-17-Z033	5
TCGA-17-Z034	5
TCGA-17-Z035	5
TCGA-17-Z036	5
TCGA-17-Z037	5
TCGA-17-Z038	5
TCGA-17-Z039	5
TCGA-17-Z040	5
TCGA-17-Z041	5
TCGA-17-Z042	5
TCGA-17-Z043	5
TCGA-17-Z044	5
TCGA-17-Z045	5
TCGA-17-Z046	5
TCGA-17-Z047	5
TCGA-17-Z048	5
TCGA-17-Z049	5
TCGA-17-Z050	5
TCGA-17-Z051	5
TCGA-17-Z052	5
TCGA-17-Z053	5
TCGA-17-Z054	5
TCGA-17-Z055	5
TCGA-17-Z056	5
TCGA-17-Z057	5
TCGA-17-Z058	5
TCGA-17-Z059	5
TCGA-17-Z060	5
TCGA-17-Z061	5
TCGA-17-Z062	5
TCGA-18-3406	11
TCGA-18-3407	11
TCGA-18-3408	11
TCGA-18-3409	11
TCGA-18-3410	11
TCGA-18-3411	11
TCGA-18-3412	11
TCGA-18-3414	11
TCGA-18-3415	11
TCGA-18-3416	11
TCGA-18-3417	11
TCGA-18-3419	11
TCGA-18-3421	11
TCGA-18-4083	11
TCGA-18-4086	11
TCGA-18-4721	11
TCGA-18-5592	11
TCGA-18-5595	11
TCGA-19-0955	3
TCGA-19-0957	3
TCGA-19-0960	3
TCGA-19-0962	3
TCGA-19-0963	3
TCGA-19-0964	3
TCGA-19-1385	3
TCGA-19-1386	3
TCGA-19-1387	3
TCGA-19-1388	3
TCGA-19-1389	3
TCGA-19-1390	3
TCGA-19-1392	3
TCGA-19-1786	3
TCGA-19-1787	3
TCGA-19-1788	3
TCGA-19-1789	3
TCGA-19-1790	3
TCGA-19-1791	3
TCGA-19-2619	3
TCGA-19-2620	3
TCGA-19-2621	3
TCGA-19-2623	3
TCGA-19-2624	3
TCGA-19-2625	3
TCGA-19-2629	3
TCGA-19-2631	3
TCGA-19-4065	3
TCGA-19-4068	3
TCGA-19-5947	3
TCGA-19-5950	3
TCGA-19-5951	3
TCGA-19-5952	3
TCGA-19-5953	3
TCGA-19-5954	3
TCGA-19-5955	3
TCGA-19-5956	3
TCGA-19-5958	3
TCGA-19-5959	3
TCGA-19-5960	3
TCGA-20-0987	6
TCGA-20-0990	6
TCGA-20-0991	6
TCGA-20-0996	6
TCGA-20-1682	6
TCGA-20-1683	6
TCGA-20-1684	6
TCGA-20-1685	6
TCGA-20-1686	6
TCGA-20-1687	6
TCGA-21-1070	11
TCGA-21-1071	11
TCGA-21-1072	11
TCGA-21-1075	11
TCGA-21-1076	11
TCGA-21-1077	11
TCGA-21-1078	11
TCGA-21-1079	11
TCGA-21-1080	11
TCGA-21-1081	11
TCGA-21-1082	11
TCGA-21-1083	11
TCGA-21-5782	11
TCGA-21-5783	11
TCGA-21-5784	11
TCGA-21-5786	11
TCGA-21-5787	11
TCGA-22-0940	11
TCGA-22-0944	11
TCGA-22-1000	11
TCGA-22-1002	11
TCGA-22-1005	11
TCGA-22-1011	11
TCGA-22-1012	11
TCGA-22-1016	11
TCGA-22-1017	11
TCGA-22-4591	11
TCGA-22-4593	11
TCGA-22-4594	11
TCGA-22-4595	11
TCGA-22-4596	11
TCGA-22-4599	11
TCGA-22-4601	11
TCGA-22-4604	11
TCGA-22-4605	11
TCGA-22-4607	11
TCGA-22-4609	11
TCGA-22-4613	11
TCGA-22-5471	11
TCGA-22-5472	11
TCGA-22-5473	11
TCGA-22-5474	11
TCGA-22-5477	11
TCGA-22-5478	11
TCGA-22-5479	11
TCGA-22-5480	11
TCGA-22-5481	11
TCGA-22-5482	11
TCGA-22-5483	11
TCGA-22-5485	11
TCGA-22-5489	11
TCGA-22-5491	11
TCGA-22-5492	11
TCGA-23-1021	6
TCGA-23-1022	6
TCGA-23-1023	6
