TCGA-CR-5248	121	256
TCGA-75-5122	102	172
TCGA-EW-A1J6	247	203
TCGA-67-6217	89	167
TCGA-AA-3560	299	139
TCGA-EY-A1GM	225	96
TCGA-61-2094	186	49
TCGA-D1-A162	221	101
TCGA-AN-A0FX	202	167
TCGA-25-1631	182	56
TCGA-EU-5906	93	70
TCGA-CR-6471	134	230
TCGA-CQ-6220	135	238
TCGA-BP-4992	71	89
TCGA-D8-A145	219	211
TCGA-77-8008	107	194
TCGA-56-5897	110	203
TCGA-78-7163	93	171
TCGA-AX-A2HJ	224	103
TCGA-75-5147	80	174
TCGA-E2-A1IH	216	205
TCGA-EW-A1PE	223	211
TCGA-BH-A1F6	206	179
TCGA-CZ-4864	90	76
TCGA-67-3774	46	160
TCGA-A8-A09K	231	211
TCGA-CV-6934	125	221
TCGA-A3-3374	10	132
TCGA-D8-A1XS	235	208
TCGA-AB-2886	276	34
TCGA-73-4659	62	161
TCGA-BH-A1ET	208	188
TCGA-BS-A0V6	233	104
TCGA-AA-3864	303	128
TCGA-BG-A0M8	229	109
TCGA-61-1733	189	54
TCGA-E2-A108	214	198
TCGA-A8-A09G	219	199
TCGA-DQ-5631	130	234
TCGA-64-1677	77	179
TCGA-06-5856	60	267
TCGA-AB-2979	272	38
TCGA-BP-4983	87	86
TCGA-DQ-7590	121	265
TCGA-B0-5121	87	82
TCGA-18-3421	67	193
TCGA-B0-5113	100	73
TCGA-AA-A01X	311	157
TCGA-29-1710	185	50
TCGA-AC-A2QH	114	186
TCGA-24-1846	182	47
TCGA-AN-A0XT	221	213
TCGA-67-3772	90	175
TCGA-AB-2819	279	37
TCGA-69-8254	93	164
TCGA-AA-3529	309	141
TCGA-E2-A15P	223	220
TCGA-AA-3852	304	134
TCGA-E9-A248	228	199
TCGA-AA-3514	325	183
TCGA-A2-A0YG	232	202
TCGA-H4-A2HO	156	136
TCGA-HD-7832	136	234
TCGA-BH-A0HX	235	213
TCGA-AB-2984	276	41
TCGA-AB-2885	275	33
TCGA-AB-2955	271	38
TCGA-05-4432	62	164
TCGA-E2-A1AZ	208	179
TCGA-44-3918	84	177
TCGA-AA-3861	303	141
TCGA-61-1721	211	192
TCGA-AK-3465	9	129
TCGA-BP-4353	102	79
TCGA-09-2056	189	47
TCGA-BH-A0BO	216	211
TCGA-60-2710	105	209
TCGA-A2-A0YH	236	206
TCGA-08-0386	60	266
TCGA-AA-3667	320	177
TCGA-AP-A1E1	223	102
TCGA-A2-A1FZ	215	212
TCGA-AO-A0J9	256	201
TCGA-24-2271	185	51
TCGA-BT-A2LA	150	133
TCGA-50-6591	115	185
TCGA-36-1581	181	48
TCGA-CV-6953	134	240
TCGA-BT-A20J	100	192
TCGA-EO-A1Y5	227	94
TCGA-21-1082	107	208
TCGA-A2-A0CV	220	201
TCGA-B6-A0RE	203	168
TCGA-A7-A0CH	223	217
TCGA-B0-4814	89	76
TCGA-BH-A0H0	228	214
TCGA-05-4395	105	170
TCGA-E2-A106	232	209
TCGA-94-7943	91	199
TCGA-53-7813	59	162
TCGA-AA-3517	308	143
TCGA-CQ-5324	137	236
TCGA-E9-A1RF	208	202
TCGA-AZ-4684	305	146
TCGA-A2-A0YF	211	197
TCGA-A3-3311	101	80
TCGA-BH-A0C0	219	197
TCGA-CJ-4882	77	90
TCGA-06-0210	60	257
TCGA-55-7995	99	168
TCGA-02-0055	64	260
TCGA-19-2619	65	264
TCGA-A2-A04T	209	171
TCGA-22-5483	102	181
TCGA-AA-3982	302	147
TCGA-AX-A1CI	223	99
TCGA-AA-3956	299	146
TCGA-A2-A25A	215	209
TCGA-09-0367	186	46
TCGA-06-0184	59	261
TCGA-25-2396	193	50
TCGA-A2-A0T5	224	217
TCGA-05-4398	103	172
TCGA-EW-A1PG	217	213
TCGA-EY-A1GU	224	106
TCGA-91-6836	98	173
TCGA-B5-A0JU	220	109
TCGA-AN-A0XU	203	173
TCGA-06-0645	62	259
TCGA-EW-A1OW	206	168
TCGA-37-4130	66	186
TCGA-A5-A1OJ	230	104
TCGA-49-4490	105	171
TCGA-G2-A3IE	152	135
TCGA-BP-4965	95	72
TCGA-AP-A0LP	236	102
TCGA-B6-A0WS	223	208
TCGA-CV-7411	138	235
TCGA-AG-4001	305	147
TCGA-E2-A1LH	216	193
TCGA-64-5778	83	174
TCGA-DK-A1A5	152	138
TCGA-CJ-4923	76	91
TCGA-EW-A1OY	241	205
TCGA-91-6847	99	173
TCGA-AG-3578	304	138
TCGA-AX-A2HG	228	101
TCGA-29-1696	187	46
TCGA-A2-A0YK	215	202
TCGA-A8-A07F	220	213
TCGA-A2-A0EV	224	208
TCGA-CV-6003	135	242
TCGA-AA-3994	304	135
TCGA-55-8299	103	169
TCGA-AF-3400	301	125
TCGA-38-4628	90	172
TCGA-EW-A2FS	252	203
TCGA-D1-A2G7	224	97
TCGA-EY-A2OM	220	100
TCGA-AR-A0TU	203	166
TCGA-B0-4697	75	92
TCGA-B0-5705	95	85
TCGA-CJ-6032	94	73
TCGA-CV-7429	116	197
TCGA-A8-A07U	207	178
TCGA-49-4494	84	174
TCGA-30-1860	190	44
TCGA-E9-A1N4	216	200
TCGA-D8-A1XA	236	211
TCGA-AK-3426	76	90
TCGA-BB-7862	117	224
TCGA-55-1594	63	164
TCGA-BH-A1EW	209	189
TCGA-BG-A0YU	232	105
TCGA-B5-A0JY	228	108
TCGA-73-7498	54	161
TCGA-BH-A0E0	215	191
TCGA-CW-6087	98	88
TCGA-25-2397	185	46
TCGA-06-2559	42	246
TCGA-E9-A1R2	227	211
TCGA-AN-A0FV	224	199
TCGA-B0-4707	73	88
TCGA-BH-A0H6	245	210
TCGA-GM-A2DC	249	207
TCGA-AR-A0TT	217	202
TCGA-D8-A13Z	213	185
TCGA-BP-4798	82	88
TCGA-CR-7394	132	227
TCGA-A8-A0A7	213	198
TCGA-61-2088	198	52
TCGA-24-1416	197	50
TCGA-06-2570	46	250
TCGA-22-1016	105	189
TCGA-B0-5693	96	76
TCGA-B5-A0JS	236	103
TCGA-AK-3458	92	78
TCGA-B2-3924	94	76
TCGA-AG-A01L	308	140
TCGA-CZ-5986	92	81
TCGA-BP-4985	91	89
TCGA-BS-A0TJ	216	103
TCGA-E9-A22B	229	202
TCGA-25-1315	190	51
TCGA-C8-A137	233	199
TCGA-CR-7393	126	225
TCGA-FD-A3SR	155	139
TCGA-25-1627	189	51
TCGA-AC-A2BM	236	210
TCGA-34-5231	96	208
TCGA-E9-A1ND	209	182
TCGA-CJ-5679	88	85
TCGA-AA-A010	302	136
TCGA-AO-A1KS	212	195
TCGA-A3-3324	101	73
TCGA-D1-A0ZP	223	96
TCGA-BP-4176	98	79
TCGA-CZ-5468	97	87
TCGA-22-5478	97	181
TCGA-AB-2913	274	43
TCGA-A2-A0T7	224	206
TCGA-AG-A026	309	144
TCGA-37-3792	103	183
TCGA-10-0928	193	48
TCGA-FI-A2EU	223	97
TCGA-DQ-7592	129	231
TCGA-AB-2934	331	83
TCGA-A5-A0VP	224	110
TCGA-CN-5358	132	226
TCGA-CU-A0YR	149	138
TCGA-34-5239	101	193
TCGA-55-6969	69	168
TCGA-AA-3973	311	144
TCGA-55-7576	94	162
TCGA-B0-4690	94	83
TCGA-AO-A12F	204	171
TCGA-BP-4174	92	72
TCGA-B0-5690	91	82
TCGA-CZ-5470	100	85
TCGA-B6-A0I9	229	211
TCGA-49-6767	106	173
TCGA-A8-A07P	233	208
TCGA-CR-6477	126	228
TCGA-BG-A0M6	222	93
TCGA-AB-2872	219	2
TCGA-70-6722	117	210
TCGA-B5-A11L	231	109
TCGA-AA-3494	304	143
TCGA-CW-5583	103	78
TCGA-55-7815	212	194
TCGA-AO-A0JG	217	215
TCGA-BP-4969	79	84
TCGA-B0-4852	98	74
TCGA-B0-5080	97	80
TCGA-A2-A0T1	220	194
TCGA-56-7222	97	174
TCGA-AB-2931	274	38
TCGA-E2-A1B0	224	197
TCGA-93-8067	100	171
TCGA-38-4629	103	176
TCGA-24-1562	188	56
TCGA-AJ-A23M	223	94
TCGA-CV-7178	132	233
TCGA-D8-A1X7	221	219
TCGA-AO-A0JD	225	216
TCGA-66-2767	105	199
TCGA-B0-5402	85	86
